theta_s,precision,recall,f1
0.05,0.6044444444444445,1.0,0.7534626038781164
0.1,0.6044444444444445,1.0,0.7534626038781164
0.15,0.6044444444444445,1.0,0.7534626038781164
0.2,0.6081081081081081,0.9926470588235294,0.7541899441340782
0.25,0.6203703703703703,0.9852941176470589,0.7613636363636364
0.3,0.6341463414634146,0.9558823529411765,0.7624633431085044
0.35,0.6528497409326425,0.9264705882352942,0.7659574468085106
0.4,0.6648936170212766,0.9191176470588235,0.7716049382716049
0.45,0.6703910614525139,0.8823529411764706,0.7619047619047619
0.5,0.672514619883041,0.8455882352941176,0.749185667752443
0.55,0.6625,0.7794117647058824,0.7162162162162162
0.6,0.6788321167883211,0.6838235294117647,0.6813186813186813
0.65,0.7033898305084746,0.6102941176470589,0.6535433070866141
0.7,0.73,0.5367647058823529,0.6186440677966102
0.75,0.75,0.4852941176470588,0.5892857142857143
0.8,0.746268656716418,0.36764705882352944,0.49261083743842365
0.85,0.775,0.22794117647058823,0.3522727272727273
0.9,0.9166666666666666,0.08088235294117647,0.14864864864864866
0.95,0.0,0.0,0.0
