theta_s,precision,recall,f1
0.05,0.6044444444444445,1.0,0.7534626038781164
0.1,0.6044444444444445,1.0,0.7534626038781164
0.15,0.6044444444444445,1.0,0.7534626038781164
0.2,0.6044444444444445,1.0,0.7534626038781164
0.25,0.6026785714285714,0.9926470588235294,0.75
0.3,0.6336633663366337,0.9411764705882353,0.757396449704142
0.35,0.6594594594594595,0.8970588235294118,0.7601246105919003
0.4,0.6724137931034483,0.8602941176470589,0.7548387096774194
0.45,0.6666666666666666,0.8088235294117647,0.7308970099667774
0.5,0.678082191780822,0.7279411764705882,0.7021276595744681
0.55,0.6771653543307087,0.6323529411764706,0.6539923954372624
0.6,0.6944444444444444,0.5514705882352942,0.6147540983606558
0.65,0.7051282051282052,0.40441176470588236,0.514018691588785
0.7,0.7321428571428571,0.3014705882352941,0.4270833333333333
0.75,0.7647058823529411,0.19117647058823528,0.3058823529411765
0.8,0.8666666666666667,0.09558823529411764,0.17218543046357615
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.95,0.0,0.0,0.0
